縣市,站點UID,站點ID,站點名稱,站點地址,腳踏車可租借數量,lat,lng
台北市,TPE500101136,500101136,YouBike2.0_信義大安路口(信維大樓),信義路四段74號(前),12,25.033170000000002,121.54638999999999
台北市,TPE500101137,500101137,YouBike2.0_龍門廣場,敦化南路一段與敦化南路一段236巷口,50,25.04092,121.54825
台北市,TPE500101138,500101138,YouBike2.0_仁愛安和路口,仁愛路四段258號前,20,25.03754,121.55285
台北市,TPE500101139,500101139,YouBike2.0_信義敦化路口,信義路四段155號前,42,25.03333,121.54977
台北市,TPE500101140,500101140,YouBike2.0_仁愛國中,安和路一段75號(對面),25,25.03706,121.55166000000001
台北市,TPE500101141,500101141,YouBike2.0_捷運信義安和站(2號出口),信義路四段188號前,26,25.03304,121.55171000000001
台北市,TPE500101142,500101142,YouBike2.0_八德市場,市民大道三段170號,30,25.044629999999998,121.53665
台北市,TPE500101143,500101143,YouBike2.0_昌隆公園,市民大道三段206號西側,16,25.04448,121.53946
台北市,TPE500101144,500101144,YouBike2.0_捷運大安森林公園站(2號出口),捷運大安森林公園站(2號出口)西側,62,25.03332,121.53435
台北市,TPE500101145,500101145,YouBike2.0_信義延吉街口,信義路四段353號,15,25.033179999999998,121.55725
台北市,TPE500101146,500101146,YouBike2.0_光信公園(光復南路456巷),延吉街249號,15,25.03513,121.5561
台北市,TPE500101147,500101147,YouBike2.0_僑安地下停車場(2號出口)東南側,光復南路290巷5號,20,25.0391,121.5569
台北市,TPE500101148,500101148,YouBike2.0_建國南路一段279巷口,建國南路一段275號,32,25.03635,121.53833
台北市,TPE500101149,500101149,YouBike2.0_捷運忠孝新生站(6號出口),新生南路一段101號,15,25.04091,121.53295
台北市,TPE500101150,500101150,YouBike2.0_捷運忠孝新生站(4號出口),忠孝新生路口北側,35,25.04239,121.53323999999999
台北市,TPE500101151,500101151,YouBike2.0_大安高工,復興南路二段52號(前),23,25.03126,121.54338999999999
