ID,縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積
PR-1,高雄市,前鎮區,鎮海路,-0.5410330351870677,None,12,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.916666666666668,0.04359625995796882,-0.8193256863726953,0.0,179750,2499123,,0.12715944911725932,0.03524898440199422,-0.4384519028208025
PR-2,台北市,北投區,大同街,0.7537991510133588,None,4,7,其他,鋼筋混凝土造,華廈(10層含以下有電梯),0.75,-0.20058248690813088,0.3114702319678166,1.0,300436,2781335,,-0.46408337884519824,-0.16097939885149348,-0.4384519028208025
PR-3,台北市,大同區,大龍街,0.48286880661070447,住,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),43.916666666666664,0.21193596073859755,-0.8193256863726953,0.0,302091,2773374,,0.83240747309353,2.4616556016755546,-0.4384519028208025
PR-4,新北市,蘆洲區,民族路,0.3909404319686256,None,4,4,住家用,加強磚造,公寓(5樓含以下無電梯),45.416666666666664,-0.6854927512728087,-0.8193256863726953,0.0,298394,2775413,,0.05247614453252784,-1.6420771089734696,-0.4384519028208025
PR-5,新北市,新莊區,龍安路,-0.7115992246863702,None,3,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),27.25,-0.8980718956032956,-0.8193256863726953,0.0,292572,2767887,,-0.9681956847921354,-0.3333191093610782,-0.022098684164791736
PR-6,台中市,北區,德化街,1.5915129880131744,None,3,25,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),2.8333333333333335,1.9596812500719505,1.9057071004478825,2.0,216638,2672961,,1.436380409792021,1.3201183112704826,1.1500957622052088
PR-7,高雄市,鼓山區,葆禎路,-0.6400272770565374,None,13,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.5,-0.18564449298220487,-0.24156930186538456,1.0,176287,2507053,,-0.5036881615795252,-0.5926818420091662,0.05690167014429773
PR-8,新北市,蘆洲區,和平路,0.1891546454340132,None,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),34.666666666666664,-0.5964393259451725,-0.8193256863726953,0.0,296993,2774882,,-0.06322639931275698,-0.07225004294556871,-0.4384519028208025
PR-9,台北市,松山區,民生東路五段,-1.0534526105449131,None,10,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),39.333333333333336,-0.3591550378141156,-0.8193256863726953,0.0,306692,2772439,,-0.08104855154320413,-0.41351679642989486,-0.4384519028208025
PR-10,高雄市,三民區,皓東路,-1.160522129245687,None,5,18,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.916666666666668,-0.3878819492101272,-0.8193256863726953,0.0,181580,2505608,,0.0038188400303543458,0.040367985704259,-0.4384519028208025
PR-11,新北市,中和區,民享街,0.34328187852673253,None,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),35.0,-0.5200257416317812,-0.8193256863726953,0.0,297939,2765921,,0.040877601017474945,0.05231232207621047,-0.4384519028208025
