ID,縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積
PU-1,新北市,樹林區,大有路,2.0393784158445825,None,3,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),13.916666666666666,0.4722017779864632,0.14617629308470892,1.0,288745,2760266,,0.8496638427134873,0.14616067928440032,-0.4384519028208025
PU-2,新北市,三重區,力行路一段,-0.07778612767698498,None,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),40.833333333333336,-0.5464545001161122,-0.8193256863726953,0.0,298751,2773492,,-0.004102116516511144,0.06425665844816195,-0.4384519028208025
PU-3,新北市,板橋區,民生路三段,-0.555765608691798,None,2,20,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),1.3333333333333333,0.12403161186680149,-0.16741874984305605,1.0,297000,2769106,,-0.2858618565407251,-0.7752595551232808,1.3230424838007822
PU-4,新北市,泰山區,明志路二段,-0.7448376409295061,None,6,16,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.5,-0.027071942076220365,0.11528022974207201,1.0,293076,2771160,,0.027581709670950815,0.31679405602656346,-0.13953164327289716
PU-5,台北市,信義區,忠孝東路五段,-0.6109226334770453,None,3,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),40.5,-0.8635996019280814,-0.8193256863726953,0.0,308103,2770220,,-0.8833282932185769,-0.5602615004281553,-0.07547730194120339
PU-6,新北市,三重區,溪尾街,0.5490572363530009,None,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),35.0,-0.3936273314893298,-0.8193256863726953,0.0,299276,2775194,,0.2643617321611787,-0.056893039038774046,-0.4384519028208025
PU-7,新北市,泰山區,明志路二段,-0.6959533758257184,None,8,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.75,-0.511982206440898,0.7996280327814802,1.0,293078,2771217,,-0.75008648844809,-0.8742269136337354,0.3686327979585416
PU-8,新北市,泰山區,仁義路,-0.7807197489924143,None,3,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.75,-0.11440175272009559,0.3145598383020802,1.0,293716,2771834,,-0.1942050736412821,-0.21216941187414223,0.15298318214183856
PU-9,桃園市,蘆竹區,中山路,-0.2272748833041037,None,14,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),22.75,1.2242723183340503,0.8382481119597762,1.0,280095,2772017,,1.6324240843269413,0.9669072214142049,-0.3018026413131885
PU-10,新北市,新莊區,幸福路,0.21984550410536857,None,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.333333333333336,-0.6309116196203864,-0.8193256863726953,0.0,295761,2771317,,0.00014125306216694077,-0.7889102252626539,-0.4384519028208025
PU-11,新北市,鶯歌區,光復街,0.6320691594938479,None,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),24.916666666666668,-0.24022562463462738,-0.8193256863726953,0.0,285415,2761046,,0.1693102535987932,0.28778638198039574,-0.28685662833579356
PU-12,台北市,松山區,民生東路五段,3.164701889273614,None,3,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),51.75,-0.102336449933771,-0.8193256863726953,0.0,306463,2772234,,1.0015764736301567,-1.6420771089734696,-0.4384519028208025
PU-13,高雄市,岡山區,岡山路,0.9567625820858696,None,4,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),15.833333333333334,1.0421437000833358,-0.8193256863726953,0.0,177658,2521171,,0.5331084721441138,0.6597671432783114,-0.4384519028208025
PU-14,新北市,三重區,仁化街,-0.5329096912317677,None,2,4,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),41.583333333333336,-1.5507473225206818,-0.8193256863726953,0.0,299695,2772475,,-1.4708935342128469,-0.9475992656328656,-0.4384519028208025
PU-15,台中市,北屯區,軍福十五路,-0.5462723517026162,None,10,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.5,-0.1184235203155372,1.46852780414957,2.0,222011,2674321,,-0.3121707479285284,-0.10808305206142281,-0.4384519028208025
