ID,縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積,單價
TR-1,台北市,大安區,敦化南路二段,-0.2567159967515666,None,11,11,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.583333333333336,-0.17415372842380036,-0.8193256863726953,0.0,305266,2768378,,0.3939259499634779,0.18370002216767603,-0.4384519028208025,4.627714497782282
TR-2,台北市,萬華區,水源路,0.10013433179368407,None,7,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),24.166666666666668,0.314203765308399,-0.8193256863726953,0.0,300677,2767990,,-0.31613122620196116,0.6085771302556623,-0.4384519028208025,1.8872581450501995
TR-3,高雄市,鳳山區,北忠街,0.1819205432726367,None,10,15,集合住宅,其他,住宅大樓(11層含以上有電梯),6.166666666666667,0.4233660286132435,0.16162432475602728,1.0,184815,2504666,,-0.09887070377365127,-0.36062044963982437,1.5258812313511467,1.4890721792686148
TR-4,新北市,新莊區,福前街,0.08559402678493695,None,9,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),8.833333333333334,0.1642492878212176,0.5246530690320114,1.0,296653,2772355,,-0.07114735585962247,0.3150877222591419,0.23198353645092765,2.051217072136734
TR-5,新北市,板橋區,文化路一段,-0.9381155465168516,None,41,43,住家用,鋼骨造,住宅大樓(11層含以上有電梯),11.0,0.9858389537471534,0.5323770848676707,1.0,297377,2768472,,0.7919540164434673,1.7194004128471445,-0.4384519028208025,3.269197673350993
TR-6,台北市,萬華區,國興路,0.2605102910058646,None,2,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),39.333333333333336,-0.411438016554857,-0.8193256863726953,0.0,301365,2768583,,-0.37129503072477427,-0.6182768485204907,-0.4384519028208025,2.238598703092774
TR-7,新北市,樹林區,信義街,0.8564224607445157,None,2,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),46.0,-0.8687704459793637,-0.8193256863726953,0.0,292687,2763850,,-0.24540839989066243,-1.6420771089734696,-0.4384519028208025,1.348535956051585
TR-8,桃園市,平鎮區,中庸路,-0.618421104820399,None,7,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.0,-0.46831730111896036,-0.8193256863726953,0.0,271007,2756216,,-0.4451296613937701,-0.3418507781981864,-0.19077511633825256,1.2079997328345549
TR-9,新北市,永和區,民樂街,0.7361585165068786,None,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),42.833333333333336,-0.42292878111326176,-0.8193256863726953,0.0,303269,2765580,,-0.10933768206772362,1.9139224623332105,-0.4384519028208025,2.074639776006239
TR-10,桃園市,中壢區,龍仁路,-0.3265094607935527,None,15,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.333333333333333,-0.5183021269480205,1.1147678788763766,1.0,273749,2758835,,-0.7778098363621193,-0.5039524861032414,-0.16301823509451835,1.254845140573565
TR-11,新北市,泰山區,泰林路二段,-0.3333109588389669,None,5,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.75,-0.30399936793377325,1.4901550484894155,1.0,292757,2772935,,-0.006365246958472654,0.014772979192934771,-0.3231540884237535,1.348535956051585
TR-12,台中市,南區,五權南路,-0.8230188181087694,None,8,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),29.5,-0.38558379629844636,-0.8193256863726953,0.0,216486,2667851,,-0.353755769799572,0.09497066626175127,-0.4384519028208025,1.114308917356535
TR-13,台北市,士林區,中山北路七段,-0.13601944839796706,None,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),33.916666666666664,-0.2907849886916075,-0.8193256863726953,0.0,303912,2779315,,-0.09151552983727647,0.7416711641145498,-0.4384519028208025,2.543093853396339
TR-14,台中市,南屯區,向上路二段,0.10095147290161353,None,5,25,住家用,鋼骨造,住宅大樓(11層含以上有電梯),7.166666666666667,2.1113593422428925,1.34339874761189,2.0,213748,2671323,,1.7291729107207983,0.6000454614185544,1.0732305526071753,2.051217072136734
TR-15,新北市,新店區,北宜路二段,-1.1749182328824468,None,17,18,住家用,鋼骨造,住宅大樓(11層含以上有電梯),21.166666666666668,-0.9561002566232392,-0.2987270190492629,1.0,305635,2760725,,-0.7959148798978117,-0.4374054691737978,-0.011422960609509062,1.8638354411806946
TR-16,台北市,文山區,新光路一段,1.1998139945709263,None,3,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.583333333333332,-0.30917021198505507,-0.8193256863726953,0.0,307965,2765089,,-0.17213955183215685,0.48742743276872663,0.9301758569663925,2.472825741787824
TR-17,台中市,西屯區,工業區一路,-0.11780200840353684,None,10,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),30.333333333333332,0.08726116527990643,-0.8193256863726953,0.0,210831,2675172,,0.4584251675593824,0.3236193910962499,-0.4384519028208025,1.09088621348703
TR-18,新北市,新莊區,天祥街,-1.078615749956745,None,13,18,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),5.083333333333333,-0.7061761274779373,-0.8193256863726953,0.0,292103,2768931,,-0.928308010752563,-1.1608909865605694,0.09106398552120112,2.0043716643977243
TR-19,新北市,深坑區,文化街,-0.592368723614644,None,4,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.5,-0.5246220474551434,-0.8193256863726953,0.0,312552,2766008,,-0.4451296613937701,-0.2309390833157804,-0.019963539453734934,1.676453810224655
TR-20,新北市,土城區,裕民路,-0.45984766275806316,None,10,16,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.25,-0.2172440955178179,0.9448395304918739,1.0,295953,2763944,,0.24116464513107289,-0.05177403773650896,-0.2975323518910757,2.0277943682672293
TR-21,新北市,三峽區,大觀路,0.2740652199726967,None,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),15.166666666666666,0.664672084339742,0.38407598082301325,1.0,287719,2760030,,0.5911011897193791,0.060843990913318755,0.2874972989383961,1.8638354411806946
TR-22,新北市,樹林區,保安街二段,0.6884759295029875,None,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),32.166666666666664,-0.14715043171154904,-0.8193256863726953,0.0,291632,2766676,,0.5251875155972483,0.7928611771371986,-0.4384519028208025,1.2079997328345549
TR-23,台北市,大安區,永康街,0.3054049848179962,None,2,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),7.833333333333333,0.3641885911374593,1.3279507159405717,3.0,303452,2769440,,-0.28840787828793196,-0.3725647860117757,1.423394285220436,5.564622652562481
TR-24,高雄市,三民區,市中一路,0.35476992116174216,None,5,5,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),42.666666666666664,-1.0060850824522998,-0.8193256863726953,0.0,176668,2504317,,-0.6114697488779446,-1.6420771089734696,0.6376610315516564,0.6973847884793465
TR-25,桃園市,桃園區,同安街,-0.40509920852678083,None,3,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),19.25,-0.31951190008761937,0.42269606000130944,1.0,280593,2767496,,-0.4445638787832794,-0.111495719596266,0.056901670144297346,1.348535956051585
TR-26,新北市,三重區,仁愛街,0.5837857334400087,None,3,4,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),40.5,-0.5418581942927503,-0.8193256863726953,0.0,299635,2774869,,-0.18062629098951263,1.1767862748070657,-0.4384519028208025,1.6296084024856448
TR-27,台北市,大安區,光復南路,-0.12960248734452004,None,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),41.25,0.13264968528560506,-0.8193256863726953,0.0,306167,2769827,,0.43437940661354096,1.7501144206607337,-0.4384519028208025,3.8313425662191127
TR-28,新北市,板橋區,文化路二段,-1.0768132328069002,None,4,22,住家用,鋼骨造,住宅大樓(11層含以上有電梯),6.583333333333333,-0.4798080656773649,-0.8193256863726953,0.0,297388,2768742,,-0.7464089014799027,-0.1831617378279745,-0.4384519028208025,2.8944344114389136
TR-29,桃園市,八德區,建德路,0.9324406173439654,None,20,23,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.0,0.6060691850918781,0.580265983048758,1.0,278407,2757642,,0.4018469065103434,0.42429308337412613,-0.4384519028208025,1.8169900334416844
TR-30,新北市,樹林區,東榮街,-0.6384170284026762,None,5,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),28.666666666666668,-0.6872163659565695,-0.8193256863726953,0.0,291938,2763890,,-0.710764597019008,-0.9356549292609142,-0.15234251153923586,1.5827629947466348
TR-31,台中市,西屯區,工業區一路,-0.15349184797046145,None,5,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),29.0,0.009698504510674695,-0.13806748966755084,1.0,210676,2674260,花台2.65㎡,0.26945377565559236,-0.010822027318389764,0.12736144560916113,1.2314224367040598
TR-32,台北市,內湖區,成功路二段,0.6191150695769644,None,4,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),42.166666666666664,-0.5889703289822094,-0.8193256863726953,0.0,309418,2773288,,-0.10396274726806498,0.24683437156227658,-0.4384519028208025,2.2151759992232694
TR-33,高雄市,前金區,民生二路,-0.24330526915672224,None,3,12,其他,鋼筋混凝土造,住宅大樓(11層含以上有電梯),35.25,0.4446239430462925,-0.8193256863726953,0.0,177304,2502806,,0.8358021687564725,0.6358784705344085,-0.4384519028208025,0.9878263164612082
TR-34,台北市,大安區,和平東路二段,-1.0099758968906596,None,10,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.166666666666664,-0.40684171073149505,-0.8193256863726953,0.0,304609,2768686,,-0.06350929061800191,-0.5722058368001067,-0.4384519028208025,3.8313425662191127
TR-35,桃園市,中壢區,公園路二段,1.176621607242925,None,4,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.666666666666667,0.9398758955135345,2.183771670531615,2.0,270742,2766664,,0.5495161678483351,-0.13709072610759054,2.4418583123943702,1.5359175870076247
TR-36,台北市,內湖區,大湖山莊街,-0.32571635324762127,None,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),40.833333333333336,-0.9313951128226692,-0.8193256863726953,0.0,310486,2775727,,-0.6148644445408871,-0.03129803252744951,-0.4384519028208025,2.379134926309804
TR-37,台南市,新市區,富林路,0.53038315868061,None,6,7,集合住宅,鋼筋混凝土造,華廈(10層含以下有電梯),4.916666666666667,-0.7647790267258012,-0.1535155213388694,1.0,177456,2553464,,-0.7311327709966622,-1.0602172942826933,-0.4384519028208025,1.4656494753991098
TR-38,新北市,五股區,登林路,-0.4372801480420079,None,8,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.25,-0.6062064758198165,0.6652301572410093,1.0,293208,2773561,,-0.9062424889434377,-0.765021552518751,0.3366056272926947,1.9809489605282193
TR-39,桃園市,中壢區,永福路,0.11147817305670644,None,7,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),27.416666666666668,0.19757250504059162,0.23423007361122425,1.0,275598,2761637,,0.7302837119000146,0.1939380247722059,-0.08828817020754191,0.9737726941395051
TR-40,台北市,松山區,八德路三段,0.10212911743951215,None,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.916666666666664,-0.8664722930676826,-0.8193256863726953,0.0,306100,2771335,,-0.5249050094729149,0.06255032468074034,-0.4384519028208025,3.362888488829013
TR-41,桃園市,蘆竹區,南祥路,0.16733217113989352,None,5,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),25.833333333333332,0.2780078569494243,0.7007606300850419,1.0,280453,2771124,,0.7724345163815489,-1.6420771089734696,-0.4384519028208025,1.2314224367040598
TR-42,新北市,林口區,信義路,-0.5059440346700912,None,8,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.333333333333334,0.06945048021437898,-0.20603882902135212,1.0,287773,2774928,,-0.2654936825630711,-0.005703026016124978,0.6782287810617295,1.7232992179636646
TR-43,台中市,北屯區,敦富一街,-0.4383616583319148,None,6,12,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),2.1666666666666665,-0.6590639927884783,0.29756700346363,1.0,220153,2675479,,-0.8986044237018174,-1.0226779513994173,0.14017231387549983,1.8638354411806946
TR-44,苗栗縣,頭份市,八德二路,0.1407991186941801,None,9,13,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.916666666666667,-0.3396207380648277,-0.8193256863726953,0.0,239770,2732820,,-0.598739640141911,-0.5278411588471442,-0.4384519028208025,1.0580944280697233
TR-45,新北市,五股區,五福路,0.3252567070282854,None,7,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),28.916666666666668,0.026934651348281557,0.44586810750828704,1.0,293944,2775729,,0.44456349360236797,0.5454427808610621,-0.2313428658483255,1.395381363790595
TR-46,台中市,豐原區,三民路,-0.7814407558523522,None,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),18.083333333333332,-0.07533315322151968,0.5555491323746484,1.0,221760,2683277,,-0.19844844321996016,-0.0347107000622927,-0.4384519028208025,1.09088621348703
TR-47,台中市,南區,忠明南路,0.2564966861522104,None,18,24,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.75,1.0461654676787777,1.255344967085375,2.0,216037,2668146,,0.7727174076867939,0.3782220716537421,-0.4384519028208025,1.6530311063551497
TR-48,新北市,新莊區,福壽街,-0.4344682212882501,None,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.5,-0.8480870697742351,-0.8193256863726953,0.0,296202,2771588,,-0.48926070501202057,0.030129983099729432,-0.4384519028208025,1.6296084024856448
TR-49,新竹縣,竹北市,三民路,0.15625269905884837,None,6,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.833333333333333,0.3199491475876014,0.6575061414053504,1.0,251503,2747345,,-0.08331168198516564,0.28096104691070906,0.7422831223934235,2.2854441108317842
TR-50,台北市,文山區,萬安街,1.463630404622194,None,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),30.416666666666668,1.1432624281972976,-0.8193256863726953,0.0,307636,2766088,,1.1942254525021345,0.9071855395544479,0.14230745858655644,2.0418479905889324
TR-51,桃園市,中壢區,龍吉二街,-0.5472817613065292,None,8,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),26.416666666666668,-0.45108115428135326,-0.8193256863726953,0.0,273910,2758845,,-0.16421859528529137,-0.03129803252744951,-0.4384519028208025,0.9503499902700003
TR-52,新北市,新莊區,中央路,0.41961247143215485,None,2,28,店鋪,鋼骨造,住宅大樓(11層含以上有電梯),9.666666666666666,2.073439819200157,2.183771670531615,2.0,295958,2772467,,1.9535057157802374,-1.6420771089734696,2.1877760917786513,2.2151759992232694
TR-53,台中市,西屯區,福中五街,-0.5939789722685055,None,4,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),29.083333333333332,-0.03511547726710358,-0.8193256863726953,1.0,210950,2675067,,-0.1710079866111763,0.8457575239272692,-0.28472148362473676,1.114308917356535
TR-54,新北市,三重區,五華街,-0.048705517659490744,住,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.75,-0.6159736256944605,-0.8193256863726953,0.0,299677,2775033,,0.1656326666306058,-1.6420771089734696,-0.4384519028208025,1.9575262566587144
